id,업종,브랜드,가맹사업 개월수,가맹점수,가맹점 평균매출액,창업비용,개점률,폐점률,개월수_r,가맹점수_r,평균매출액_r,창업비용_r,개점률_r,폐점률_r,레이블
161,주점,구름공방,79,12,175998,136083,0,25,0.128440367,0.003255401,0.048658077,0.165551095,0,0.25,1
162,기타 외식,구슬함박,77,5,612632,233300,20,40,0.124770642,0.001183782,0.169376114,0.283819951,0.2,0.4,5
163,기타 외식,구이가,175,29,255208,67300,0,20,0.304587156,0.008286475,0.070557599,0.081873479,0,0.2,4
164,한식,구이구이쪽갈비,99,33,249926,50500,9,12,0.165137615,0.009470257,0.069097262,0.061435523,0.09,0.12,1
165,분식,구포국수,64,15,184524,69750,20,0,0.100917431,0.004143238,0.051015296,0.084854015,0.2,0,1
166,분식,국대떡볶이,135,58,195321,69820,0,22,0.231192661,0.016868896,0.054000388,0.084939173,0,0.22,4
167,기타 외식,국대오리,97,7,316905,73200,0,0,0.16146789,0.001775673,0.087615228,0.089051095,0,0,1
168,기타 외식,국민닭발,39,22,296942,59750,22,0,0.055045872,0.006214856,0.082095973,0.072688564,0.22,0,1
169,한식,국민수육국밥&막국수,75,10,194155,94870,0,40,0.121100917,0.00266351,0.053678019,0.115413625,0,0.4,0
170,한식,국사랑,95,29,269167,52600,17,51,0.157798165,0.008286475,0.074416902,0.063990268,0.17,0.51,0
171,분식,국수나무,175,538,231426,72030,8,6,0.304587156,0.158922758,0.063982489,0.087627737,0.08,0.06,4
172,치킨,국제통닭,48,31,185356,43065,32,16,0.071559633,0.008878366,0.051245323,0.052390511,0.32,0.16,1
173,한식,군산오징어,112,30,263125,108880,10,36,0.188990826,0.008582421,0.072746445,0.132457421,0.1,0.36,1
174,주점,군선생,132,12,277613,76220,8,8,0.225688073,0.003255401,0.076752003,0.092725061,0.08,0.08,1
175,기타 외식,군자대한곱창,22,25,1432056,84100,100,0,0.023853211,0.007102693,0.39592571,0.102311436,1,0,5
176,한식,굴마을낙지촌,203,33,345326,98010,3,21,0.355963303,0.009470257,0.095472901,0.119233577,0.03,0.21,4
177,기타 외식,굴세상,204,82,245353,47630,1,4,0.357798165,0.023971589,0.067832945,0.057944039,0.01,0.04,4
178,기타 외식,굴천지&초계국수,76,12,178664,23250,33,16,0.12293578,0.003255401,0.049395157,0.028284672,0.33,0.16,1
179,치킨,굽네치킨,192,1026,314455,85145,2,1,0.335779817,0.303344185,0.086937866,0.103582725,0.02,0.01,2
180,치킨,굽는치킨,172,18,44580,14520,0,22,0.299082569,0.005031074,0.01232439,0.017664234,0,0.22,4
181,한식,굿맘할매순대국&양선지해장국,50,56,367974,65210,12,12,0.075229358,0.016277005,0.101734489,0.0793309,0.12,0.12,1
182,분식,귀일,53,7,144289,60300,28,14,0.080733945,0.001775673,0.039891357,0.073357664,0.28,0.14,1
183,기타 외식,귀한족발,19,6,505411,91110,100,0,0.018348624,0.001479728,0.139732273,0.110839416,1,0,3
